Quantity,Unit,Lower 95%,Upper 95%
Development FAH,episodes/h,0.06027082810650139,0.3574673546309859
Confirmation FAH,episodes/h,0.13106513413636017,0.7773496441975407
EPYC_LINUX confirmation FAH,episodes/h,0.07365144320185729,1.0437229844931337
M2_MACOS confirmation FAH,episodes/h,0.07365144320185729,1.0437229844931337
Development detection,%,50.22078316314156,67.54386545251553
