feature_profile,config,n_cases,n_features,fit_eval_seconds,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr_run_alert,tpr_run_alert,median_nominal_score,median_anomaly_score,median_nominal_score_wc,median_anomaly_score_wc
full,tier0,24,46,2.1143672090256587,0.8,0.9318987314285302,1.0,1.0000000000000002,0.0,0.3,0.004903116795316367,0.010882109192257301,0.0,0.006095456152351082
full,tier0_tier1,24,64,2.8757187500596046,0.7874999999999999,0.9414225409523397,1.0,1.0000000000000002,0.0,0.55,0.006950204342283902,0.02301308498109255,0.0,0.01058383409640369
full,tier0_tier1_tier2,24,75,3.3533612081082538,0.95,0.9897096908939014,1.0,1.0000000000000002,0.0,0.95,0.0028749036103666355,0.008226372460528888,0.0,0.004469215695566457
