model,auc_pr,roc_auc,mcc,balanced_accuracy,f1,brier,worst_platform_f1,inference_time_ms_per_run
Benign only One Class SVM,0.9340608562867807,0.8809895833333334,0.4254814716983816,0.609375,0.9056603773584906,,0.8955223880597015,0.007595111597574463
Logistic regression,0.9955609384430268,0.9815104166666666,0.6221710168382552,0.875,0.8571428571428571,0.17972000088850898,0.8235294117647058,0.010168905474098497
Random Forest,0.9943062527482212,0.97890625,0.7625,0.88125,0.95,0.0642470019710744,0.9401709401709402,0.2946521017675925
ExtraTrees,0.9965003122822005,0.9864583333333334,0.8581502372752331,0.9135416666666667,0.9711934156378601,0.05364785517164794,0.9666666666666667,0.3240216923203613
Gradient boosting,0.9891061405038551,0.9627604166666667,0.7760099122967473,0.8739583333333334,0.9547325102880658,0.054445505134393,0.9411764705882353,0.030551343214730815
