Workload,Benign runs,Event runs,AUC PR,ROC AUC,Precision,Recall,F1 event,F1 macro,FAH
BROWSER,12,24,0.7544962322530224,0.5868055555555556,1.0,0.5,0.6666666666666666,0.6666666666666666,0.0
PY_AI,12,36,0.838199616021795,0.6388888888888888,0.8709677419354839,0.75,0.8059701492537313,0.6788471435923829,0.437956204379562
PY_STATS,12,36,0.6768056915995168,0.3194444444444445,0.9411764705882353,0.4444444444444444,0.6037735849056604,0.5577007459412022,0.1094890510948905
VIDEO_SW,12,24,0.7310372728140262,0.5694444444444444,0.9411764705882353,0.6666666666666666,0.7804878048780488,0.7450826121164438,0.1094890510948905
