C,threshold,residual_alpha,confirmation_blocks,false_alerts,benign_hours,fah,detected,event_runs,detection,telemetry_fault_identification_rate,strict_inner_g3,violation_distance
0.01,6.396929655216146,0.05,12,10,19.733333333333338,0.5067567567567567,42,60,0.7,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.075,6,10,19.733333333333338,0.5067567567567567,40,60,0.6666666666666666,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.075,12,10,19.733333333333338,0.5067567567567567,42,60,0.7,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.1,6,10,19.733333333333338,0.5067567567567567,41,60,0.6833333333333333,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.1,12,10,19.733333333333338,0.5067567567567567,42,60,0.7,1.0,False,3.0810810810810807
0.01,6.684611727667927,0.025,6,7,19.733333333333338,0.35472972972972966,37,60,0.6166666666666667,1.0,False,1.2567567567567564
0.01,6.684611727667927,0.025,12,7,19.733333333333338,0.35472972972972966,39,60,0.65,1.0,False,1.2567567567567564
0.01,6.684611727667927,0.05,6,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.01,6.684611727667927,0.05,12,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.01,6.684611727667927,0.075,6,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.01,6.684611727667927,0.075,12,8,19.733333333333338,0.4054054054054053,42,60,0.7,1.0,False,1.8648648648648642
0.01,6.684611727667927,0.1,6,9,19.733333333333338,0.456081081081081,42,60,0.7,1.0,False,2.472972972972972
0.01,6.684611727667927,0.1,12,9,19.733333333333338,0.456081081081081,42,60,0.7,1.0,False,2.472972972972972
0.03,5.298317366548036,0.025,6,6,19.733333333333338,0.304054054054054,41,60,0.6833333333333333,1.0,False,0.8378378378378375
0.03,5.298317366548036,0.025,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.298317366548036,0.05,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.298317366548036,0.05,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,5.298317366548036,0.075,6,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,5.298317366548036,0.075,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,5.298317366548036,0.1,6,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,5.298317366548036,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,5.521460917862246,0.025,6,7,19.733333333333338,0.35472972972972966,42,60,0.7,1.0,False,1.2567567567567564
0.03,5.521460917862246,0.025,12,8,19.733333333333338,0.4054054054054053,42,60,0.7,1.0,False,1.8648648648648642
0.03,5.521460917862246,0.05,6,8,19.733333333333338,0.4054054054054053,44,60,0.7333333333333333,1.0,False,1.8648648648648642
0.03,5.521460917862246,0.05,12,8,19.733333333333338,0.4054054054054053,44,60,0.7333333333333333,1.0,False,1.8648648648648642
0.03,5.521460917862246,0.075,6,8,19.733333333333338,0.4054054054054053,44,60,0.7333333333333333,1.0,False,1.8648648648648642
0.03,5.521460917862246,0.075,12,8,19.733333333333338,0.4054054054054053,44,60,0.7333333333333333,1.0,False,1.8648648648648642
0.03,5.521460917862246,0.1,6,8,19.733333333333338,0.4054054054054053,44,60,0.7333333333333333,1.0,False,1.8648648648648642
0.03,5.521460917862246,0.1,12,8,19.733333333333338,0.4054054054054053,44,60,0.7333333333333333,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.025,6,8,19.733333333333338,0.4054054054054053,40,60,0.6666666666666666,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.025,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.05,6,8,19.733333333333338,0.4054054054054053,42,60,0.7,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.05,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.075,6,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.075,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.1,6,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.703782474656201,0.1,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.857933154483459,0.025,6,9,19.733333333333338,0.456081081081081,41,60,0.6833333333333333,1.0,False,2.472972972972972
0.03,5.857933154483459,0.025,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.857933154483459,0.05,6,9,19.733333333333338,0.456081081081081,42,60,0.7,1.0,False,2.472972972972972
0.03,5.857933154483459,0.05,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.857933154483459,0.075,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.857933154483459,0.075,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.857933154483459,0.1,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.857933154483459,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,5.991464547107982,0.025,6,7,19.733333333333338,0.35472972972972966,38,60,0.6333333333333333,1.0,False,1.4459459459459454
0.03,5.991464547107982,0.025,12,9,19.733333333333338,0.456081081081081,42,60,0.7,1.0,False,2.472972972972972
0.03,5.991464547107982,0.05,6,7,19.733333333333338,0.35472972972972966,41,60,0.6833333333333333,1.0,False,1.4459459459459454
0.03,5.991464547107982,0.05,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.991464547107982,0.075,6,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.991464547107982,0.075,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,5.991464547107982,0.1,6,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,5.991464547107982,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,6.1092475827643655,0.025,6,7,19.733333333333338,0.35472972972972966,37,60,0.6166666666666667,1.0,False,1.4459459459459454
0.03,6.1092475827643655,0.025,12,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.03,6.1092475827643655,0.05,6,7,19.733333333333338,0.35472972972972966,41,60,0.6833333333333333,1.0,False,1.4459459459459454
0.03,6.1092475827643655,0.05,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,6.1092475827643655,0.075,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.1092475827643655,0.075,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.1092475827643655,0.1,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.1092475827643655,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,6.214608098422191,0.025,6,8,19.733333333333338,0.4054054054054053,36,60,0.6,1.0,False,1.8648648648648642
0.03,6.214608098422191,0.025,12,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.03,6.214608098422191,0.05,6,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.03,6.214608098422191,0.05,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,6.214608098422191,0.075,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.214608098422191,0.075,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.214608098422191,0.1,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.214608098422191,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,6.396929655216146,0.025,6,7,19.733333333333338,0.35472972972972966,39,60,0.65,1.0,False,1.2567567567567564
0.03,6.396929655216146,0.025,12,7,19.733333333333338,0.35472972972972966,42,60,0.7,1.0,False,1.2567567567567564
0.03,6.396929655216146,0.05,6,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,6.396929655216146,0.05,12,8,19.733333333333338,0.4054054054054053,43,60,0.7166666666666667,1.0,False,1.8648648648648642
0.03,6.396929655216146,0.075,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.396929655216146,0.075,12,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.03,6.396929655216146,0.1,6,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,6.396929655216146,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
0.03,6.684611727667927,0.025,6,6,19.733333333333338,0.304054054054054,40,60,0.6666666666666666,1.0,False,0.8378378378378375
0.03,6.684611727667927,0.025,12,7,19.733333333333338,0.35472972972972966,42,60,0.7,1.0,False,1.2567567567567564
0.03,6.684611727667927,0.05,6,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.03,6.684611727667927,0.05,12,9,19.733333333333338,0.456081081081081,42,60,0.7,1.0,False,2.472972972972972
0.03,6.684611727667927,0.075,6,8,19.733333333333338,0.4054054054054053,41,60,0.6833333333333333,1.0,False,1.8648648648648642
0.03,6.684611727667927,0.075,12,9,19.733333333333338,0.456081081081081,42,60,0.7,1.0,False,2.472972972972972
0.03,6.684611727667927,0.1,6,8,19.733333333333338,0.4054054054054053,42,60,0.7,1.0,False,1.8648648648648642
0.03,6.684611727667927,0.1,12,9,19.733333333333338,0.456081081081081,44,60,0.7333333333333333,1.0,False,2.472972972972972
