Scope,Benign runs,Event runs,Detected events,AUC PR,ROC AUC,Precision,Recall,F1 event,F1 macro,FAH,Median TTD s,Fault ID
Pooled,48,120,71/120,0.7554060384664831,0.5265625,0.922077922077922,0.5916666666666667,0.7208121827411168,0.6625643647518533,0.16423357664233573,337.48666995798703,1.0
EPYC_LINUX,24,60,34/60,0.7169330331838032,0.46875,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.6326530612244898,0.218978102189781,347.4970465983497,1.0
M2_MACOS,24,60,37/60,0.7968040022899213,0.5791666666666667,0.9487179487179487,0.6166666666666667,0.7474747474747475,0.6925779534475187,0.1094890510948905,302.4844326250022,1.0
