C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.5,1,95,7.466666666666667,12.723214285714285,120,120,1.0,2.4970105005195364,1.0
0.003,0.5,2,104,7.466666666666667,13.928571428571429,119,120,0.9916666666666667,7.4970429060049355,1.0
0.003,0.5,3,77,7.466666666666667,10.3125,119,120,0.9916666666666667,12.497042906004936,1.0
0.003,0.5,4,64,7.466666666666667,8.571428571428571,118,120,0.9833333333333333,17.49704360542819,1.0
0.003,0.5,5,57,7.466666666666667,7.633928571428571,118,120,0.9833333333333333,22.49722384189954,1.0
0.003,0.5,6,46,7.466666666666667,6.160714285714286,118,120,0.9833333333333333,27.49722384189954,1.0
0.003,0.5,8,46,7.466666666666667,6.160714285714286,115,120,0.9583333333333334,37.49704889184795,1.0
0.003,0.5,10,34,7.466666666666667,4.553571428571429,112,120,0.9333333333333333,47.49801493191626,1.0
0.003,0.5,12,30,7.466666666666667,4.017857142857142,111,120,0.925,57.49803153402172,1.0
0.003,0.5,16,27,7.466666666666667,3.6160714285714284,107,120,0.8916666666666667,77.4980447019916,1.0
0.003,0.5,20,22,7.466666666666667,2.946428571428571,105,120,0.875,97.49807217507623,1.0
0.003,0.5,22,20,7.466666666666667,2.6785714285714284,104,120,0.8666666666666667,107.49805843853392,1.0
0.003,0.5,24,16,7.466666666666667,2.142857142857143,102,120,0.85,117.49809394660406,1.0
0.003,0.5,26,15,7.466666666666667,2.008928571428571,101,120,0.8416666666666667,127.49808900803328,1.0
0.003,0.5,28,15,7.466666666666667,2.008928571428571,100,120,0.8333333333333334,137.49812538991682,1.0
0.003,0.5,30,15,7.466666666666667,2.008928571428571,98,120,0.8166666666666667,147.49812538991682,1.0
0.003,0.5,32,14,7.466666666666667,1.875,97,120,0.8083333333333333,157.4981276569888,1.0
0.003,0.5,36,11,7.466666666666667,1.4732142857142856,93,120,0.775,177.49814974190667,1.0
0.003,0.5,38,11,7.466666666666667,1.4732142857142856,90,120,0.75,187.49814940802753,1.0
0.003,0.5,40,10,7.466666666666667,1.3392857142857142,89,120,0.7416666666666667,197.4981490741484,1.0
0.003,0.5,42,9,7.466666666666667,1.2053571428571428,88,120,0.7333333333333333,207.49816032638773,1.0
0.003,0.5,44,9,7.466666666666667,1.2053571428571428,87,120,0.725,217.49814974190667,1.0
0.003,0.5,48,9,7.466666666666667,1.2053571428571428,85,120,0.7083333333333334,237.4981490741484,1.0
0.003,0.5,52,9,7.466666666666667,1.2053571428571428,81,120,0.675,257.4981497419067,1.0
0.003,0.5,56,9,7.466666666666667,1.2053571428571428,78,120,0.65,277.49813869944774,1.0
0.003,0.5,60,9,7.466666666666667,1.2053571428571428,74,120,0.6166666666666667,297.49811100400984,1.0
0.003,0.6,1,103,7.466666666666667,13.794642857142858,119,120,0.9916666666666667,2.498026756802574,1.0
0.003,0.6,2,85,7.466666666666667,11.383928571428571,119,120,0.9916666666666667,7.498072175076231,1.0
0.003,0.6,3,74,7.466666666666667,9.910714285714285,116,120,0.9666666666666667,12.498058438533917,1.0
0.003,0.6,4,59,7.466666666666667,7.901785714285714,115,120,0.9583333333333334,17.49810058483854,1.0
0.003,0.6,5,49,7.466666666666667,6.5625,113,120,0.9416666666666667,22.4981276569888,1.0
0.003,0.6,6,41,7.466666666666667,5.491071428571429,112,120,0.9333333333333333,27.498138365568593,1.0
0.003,0.6,8,35,7.466666666666667,4.6875,108,120,0.9,37.49813836556859,1.0
0.003,0.6,10,23,7.466666666666667,3.080357142857143,105,120,0.875,47.498270362149924,1.0
