Metric,Unit,Apple M2,AMD EPYC,Pooled
Event coverage (development),%,61.66666666666667,56.666666666666664,59.166666666666664
FAH (development),episodes/h,0.10948905109489052,0.21897810218978103,0.1642335766423358
Median TTD,s,302.4844326250022,347.4970465983497,337.48666995798703
Telemetry fault ID,%,100.0,100.0,100.0
Benign monitoring (development),h,18.266666666666666,18.266666666666666,36.53333333333333
Independent benign monitoring,h,8.4,8.4,16.8
FAH (confirmation),episodes/h,0.35714285714285715,0.35714285714285715,0.35714285714285715
Valid confirmation time,%,100.0,100.0,100.0
Rich telemetry avoided (replay),% (replay),99.78505291005291,99.60317460317461,99.69411375661376
