feature_profile,config,n_cases,n_features,fit_eval_seconds,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr_run_alert,tpr_run_alert,median_nominal_score,median_anomaly_score,median_nominal_score_wc,median_anomaly_score_wc
mixed,tier0,24,46,2.2640592079842463,0.8125,0.9402320647618635,1.0,1.0000000000000002,0.0,0.4,0.008991841381227354,0.018790035682216093,0.0,0.01005616442709667
mixed,tier0_tier1,24,57,2.7811407500412315,0.8375,0.9570159752957741,1.0,1.0000000000000002,0.0,0.75,4.361581824991517e-05,0.00010754939364161824,0.0,5.161052462937333e-05
mixed,tier0_tier1_tier2,24,64,3.0904605829855427,0.85,0.9591804774602762,1.0,1.0000000000000002,0.0,0.75,4.628584238222858e-05,0.00011552088052939428,0.0,5.656879610139189e-05
