config,benign_run_alert_rate,benign_persist_alerts_per_hour,benign_block_alerts_per_hour,anomaly_detect_rate,median_time_to_detect_s,p90_time_to_detect_s,detect_within_120s,detect_within_300s,detect_within_600s,feature_profile
tier0,0.0,0.0,0.0,0.4,45.0,669.4,0.25,0.25,0.3,mixed
tier0_tier1,0.0,0.0,0.0,0.75,84.0,860.4,0.4,0.4,0.6,mixed
tier0_tier1_tier2,0.0,0.0,0.0,0.75,45.0,540.4,0.45,0.45,0.7,mixed
