time_seconds,observed_compute_activity,expected_compute_activity,residual_compute_activity,residual_memory_pressure,residual_io_variability,aggregate_evidence
2.5,1.0155982655230225,,2.2679988217283014,0.27860063643939803,0.23127087565220164,
7.5,-0.40431106212544232,1.1560048427922411,1.4350309934531758,0.40297568249764332,0.30658776317786235,1.0945420574331162
12.5,-0.41784259955538267,-0.0036410032439132545,1.1328435413281475,0.27860063643939803,0.38190465070352309,0.60859952257017469
17.5,0.78499831515444729,0.0056355666453419273,1.1328435413281475,0.5273507285558886,0.38190465070352309,1.6350287190708976
22.5,-0.031629968742486553,0.86397578809162556,1.3018086881194808,1.2485932440811649,0.36985455294950431,1.0454804496942491
27.5,-0.83878617643846076,0.27987747027498644,1.4090431526810039,1.2485932440811649,0.36985455294950431,1.8132313854179094
32.5,0.91873501008702896,-0.050644877054246362,1.4090431526810039,1.1796324811969172,1.2460420098176743,1.1294446102372064
37.5,0.63558758936551418,1.083136389882897,1.4090431526810039,0.49927405256505347,1.2460420098176743,1.0423502597022547
42.5,-0.4926043438558067,0.86307277092771439,0.65053502886192049,0.23924164077772603,0.1100843813027369,0.8820618644389161
47.5,-0.59702270769018351,-0.18141218194058062,0.60411111604204759,0.49927405256505347,0.1100843813027369,1.4846141500318635
52.5,-0.94782781556140183,-0.53612832900593443,0.59842622091531339,0.37882548935042676,0.059457406949633779,0.73764852141060322
57.5,-0.85434744448289335,-0.72252454610949324,0.59163812688836748,0.37882548935042676,0.8477803971512643,0.8402186885656785
62.5,-0.1189083851656053,-0.52593786441205248,0.59163812688836748,0.23497681800119055,0.4469340369129563,0.70010432709933068
67.5,-1.3882793589059772,-0.0071581776855009771,0.59163812688836748,0.23497681800119055,0.51832470706269584,1.0475386545271894
72.5,-0.69309662344276324,-0.93425497096898302,0.35053596923263153,0.24313005054666709,0.4469340369129563,0.60258469185882746
77.5,-0.58428050994365688,-0.60403800163794863,0.35053596923263153,0.43779254660430406,0.51832470706269584,1.4668542404844214
82.5,-2.2562147222247702,-0.22115093219376325,1.661085776221719,0.81210280837756454,0.52858532512208312,1.6561851331395401
87.5,-2.7634218502237213,-1.6206441154027571,1.7164646749100911,1.6848159236843114,0.60679727622284685,1.7334573509420945
92.5,-0.92290723412792752,-2.1037840083277772,1.661085776221719,1.8213159900778095,0.60679727622284685,2.0808727280339183
97.5,0.23031804333878564,-0.36591527415855635,1.7164646749100911,1.8213159900778095,0.80417088738628795,1.0963827862523718
102.5,-2.5462406744731698,0.16102782325683762,1.0356518821025718,0.93168745154561194,1.0787147282050873,2.136143350549518
107.5,-2.4315608947544205,-1.7190631244199697,2.5374255654096762,0.86439266935346792,1.4626168390832972,1.2385111003978901
112.5,-0.13751424913177479,-1.8831877606534491,1.0412686989019209,0.93168745154561194,1.0787147282050873,3.0597449993233989
117.5,-1.2463109787035145,-0.52994900504449816,2.5374255654096762,2.5554476379948796,0.81896341953255791,2.0893369021153241
122.5,4.87050775368935,-0.95594045672854389,1.0412686989019209,2.5554476379948796,0.81896341953255791,3.6316869107881993
127.5,2.8852056870931904,3.0445704181108075,3.3314199105386328,2.0069569309864281,1.4596430390545798,2.1486043615497756
132.5,3.4473283044953162,1.1554102388537522,3.3314199105386328,0.42186272075701015,1.7039842231584015,1.6363702857030047
137.5,6.4562911776665093,1.8818009716403701,3.3314199105386328,0.42186272075701015,1.9580916866118057,2.4460917262046085
142.5,2.1519091212023076,3.8132673118754221,6.2229324595401545,0.63871089473656473,1.9580916866118057,2.3747400249442094
147.5,5.1969560941866755,0.91576317696556764,6.2229324595401545,2.3778536867406324,2.5851510679634075,3.9888634749796794
152.5,11.953139970144251,3.0306753447777215,6.9493308947672121,0.63871089473656473,3.6065313940704411,5.4094334194762599
157.5,13.21010703457384,8.4291735438861224,7.4490917754195403,1.376105266322682,5.6247387779528752,4.265621315425407
162.5,15.200032376458564,10.075278226224265,7.4490917754195403,1.376105266322682,5.6247387779528752,3.5815470526837383
167.5,16.938834936205975,10.781818989624043,8.9495369932455304,3.3325934671970798,2.7977429526350384,3.772217010953308
172.5,2.4650514498935241,10.672430987452232,8.9495369932455304,3.3325934671970798,1.9719375578816829,5.901584279699672
177.5,2.4219760557415468,1.3231419190518836,2.6238351497947288,1.8944599154529336,1.9719375578816829,1.4925247008568736
182.5,2.9650417579298405,1.1599210158533542,1.5972115130227225,1.8944599154529336,1.4127778211624664,1.2241475959119474
187.5,2.1787466704383602,1.3778791429543455,2.6238351497947288,1.5486832225049205,1.120025699197859,1.4047600279024905
192.5,3.3114491161363282,1.1805334156926528,3.0973947535730342,0.87266456765451961,1.120025699197859,2.173777843557136
197.5,6.9549283319598283,2.7727744710265094,3.0973947535730342,0.87266456765451961,1.120025699197859,2.2077010154936918
202.5,4.9493289592187573,4.3838699998646584,1.8325154636108234,0.91150273010693372,1.4470792698001629,1.0487593485884545
207.5,4.1847970944270969,2.9240808204650706,1.6217745626905398,0.91150273010693372,1.8056220171601516,1.6166655960118537
212.5,3.6232382910845495,2.5075055049322854,1.7668705274333212,2.2713554696788507,1.8056220171601516,1.4338659106472393
217.5,3.3421206009775259,2.1265660956256833,1.6217745626905398,1.205221502201548,1.8056220171601516,1.4380257813680148
222.5,2.3636776819808842,1.8012249607356998,1.7668705274333212,1.205221502201548,1.0828862982189196,1.4462725328857542
227.5,3.2489785183347681,1.1512708919150114,0.81755374347046295,0.90317060871430477,0.91642204643130787,2.0780140985943829
232.5,2.120786585113446,2.5214339027642634,1.2946231768247418,0.56248140442079453,0.91642204643130787,1.0932709128173401
237.5,2.1835954713507535,1.2929331331157758,1.2946231768247418,0.50409946575766773,1.1184989679295831,2.1760009949273331
242.5,2.5863842355153261,0.74618396113420449,2.674825040805223,0.50409946575766773,1.1184989679295831,1.3997028797091395
247.5,7.4342830454154871,1.2782129436577305,2.674825040805223,0.50409946575766773,1.1248553587838401,3.5386933340239999
252.5,5.1471149313197273,4.6389168076176599,1.2978294203597427,2.0876406782140697,1.1248553587838401,1.2045963963688286
257.5,2.0463631292487698,2.9392312679166106,1.2978294203597427,0.36515842982613261,1.1248553587838401,1.980535755650439
262.5,2.3145130959854332,1.0476661885643244,1.2978294203597427,2.1619185913290915,1.337524290271616,1.3043517221605581
267.5,1.882293237910736,1.0850561355199579,1.8414266523116658,0.36515842982613261,1.78001679578125,1.8126392068169905
272.5,3.0685580192688886,0.92249355615307982,2.8600810523080336,1.8298279245918401,1.92303984106171,1.519840233165429
277.5,3.6752219473779064,1.7075710330492844,2.8600810523080336,1.8298279245918401,1.78001679578125,1.6515786874832092
282.5,0.68723295722312228,2.2242752186324726,2.2341693927723689,1.8298279245918401,2.1489107037279402,1.6905800136998281
287.5,1.5797506135396417,0.23032101885988876,2.1883667329226046,0.8210140839836283,1.0384486800829151,1.3104722697026532
292.5,2.2084032899723129,0.7028718997179404,1.9614648040778897,0.8210140839836283,1.0936684078274983,0.94028696043380267
297.5,1.279350482594954,1.0399681324549195,2.0471245072770214,0.64056446984025117,1.0936684078274983,1.4865348956445092
302.5,1.755322311693124,0.34696138246784325,1.8208691348314547,1.827495749349928,1.3508559456601246,1.1541653173581976
307.5,2.0515502185969159,0.79884627332494662,2.0471245072770214,0.76352310260820688,1.5107318399921326,1.5142915646633073
312.5,4.2177238355066216,0.93569573675957862,1.8208691348314547,1.1452313382877406,1.5107318399921326,2.6135007212025432
317.5,2.4077679414401079,2.7441269629859324,0.48891500890254669,1.1452313382877406,1.2412555714701698,1.752335620551021
322.5,2.0870705043505069,2.2393001170474434,0.48891500890254669,1.1452313382877406,0.80972192066298221,2.0859576647086779
327.5,2.3125961281828569,0.99422334567323389,0.93196049454337038,0.59561705455710856,0.80972192066298221,1.3855074318779477
332.5,1.8705659054714558,1.2294047335785838,1.9163221421422556,0.59561705455710856,0.80972192066298221,1.3460326797486044
337.5,2.3561225735824998,1.0068541713810639,0.93196049454337038,0.31065617137335838,0.34080137180941178,1.666229121062714
342.5,1.3465571184969927,1.0113326789218702,1.9612305025818,1.1432705648756412,0.34080137180941178,1.2422052294957635
347.5,2.122026976044523,0.6304967506496042,1.6738530635542819,0.29959189677029957,0.2674508558301002,1.5164500872979751
352.5,2.0730879156729038,0.92152666593261912,2.1680153250416856,1.1432705648756412,0.2674508558301002,0.96326181644695852
357.5,2.8416792416935452,1.005657870458204,2.6687507917503517,1.0528255440590408,1.4865631163606592,1.6105448494964874
362.5,3.4496963235455564,1.2994577907242459,2.6687507917503517,1.0528255440590408,1.8862963467409504,2.286848265088115
367.5,2.5875118636344911,2.3965183609952097,0.31814407852996751,1.0528255440590408,1.4865631163606592,1.7270512807512142
